City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hovd,MN,2021-08-01 19:56:24,48.0056,91.6419,54.64,65,4,2.15
1,Takoradi,GH,2021-08-01 20:00:50,4.8845,-1.7554,76.05,86,0,6.29
2,Bilma,NE,2021-08-01 20:00:51,18.6853,12.9164,97.81,9,0,5.61
3,Beringovskiy,RU,2021-08-01 20:00:51,63.05,179.3167,45.57,72,48,12.86
4,Taltal,CL,2021-08-01 19:58:42,-25.4,-70.4833,64.13,65,21,3.15
5,Marsabit,KE,2021-08-01 19:58:28,2.3284,37.9899,67.48,43,77,25.01
6,Grindavik,IS,2021-08-01 19:56:55,63.8424,-22.4338,55.56,87,75,6.91
7,Jardim,BR,2021-08-01 20:00:52,-21.4803,-56.1381,73.56,41,100,3.31
8,Atuona,PF,2021-08-01 19:59:45,-9.8,-139.0333,76.91,71,42,12.64
9,Albany,US,2021-08-01 19:57:17,42.6001,-73.9662,75.38,74,73,1.01
10,Alofi,NU,2021-08-01 20:00:53,-19.0595,-169.9187,76.51,76,23,26.4
11,Rikitea,PF,2021-08-01 19:58:20,-23.1203,-134.9692,69.26,59,79,23.38
12,Chuy,UY,2021-08-01 19:55:13,-33.6971,-53.4616,54.36,82,31,6.15
13,Kodiak,US,2021-08-01 20:00:54,57.79,-152.4072,56.71,82,90,10.36
14,Srivardhan,IN,2021-08-01 20:00:55,18.0333,73.0167,80.02,84,99,15.97
15,Bubaque,GW,2021-08-01 20:00:55,11.2833,-15.8333,79.29,82,76,18.19
16,Vila Franca Do Campo,PT,2021-08-01 19:56:07,37.7167,-25.4333,72.01,93,74,8.55
17,Mataura,NZ,2021-08-01 19:58:22,-46.1927,168.8643,39.47,98,60,3.91
18,Muncar,ID,2021-08-01 20:00:57,-8.4333,114.3333,74.37,88,42,2.64
19,Yeppoon,AU,2021-08-01 20:00:57,-23.1333,150.7333,53.38,90,0,4.97
20,La Ronge,CA,2021-08-01 20:00:58,55.1001,-105.2842,80.17,33,4,2.82
21,Butaritari,KI,2021-08-01 20:00:58,3.0707,172.7902,83.01,69,17,9.75
22,Edson,CA,2021-08-01 20:00:19,53.5835,-116.4356,86.45,31,100,6.17
23,Bluff,NZ,2021-08-01 20:00:59,-46.6,168.3333,39.79,88,95,8.41
24,Mattru,SL,2021-08-01 19:56:42,7.6244,-11.8332,73.54,95,98,3.27
25,Sambava,MG,2021-08-01 20:01:00,-14.2667,50.1667,68.7,90,92,10.92
26,Iqaluit,CA,2021-08-01 20:01:00,63.7506,-68.5145,47.91,81,100,1.77
27,Tuktoyaktuk,CA,2021-08-01 20:01:00,69.4541,-133.0374,60.01,66,100,19.17
28,Cape Town,ZA,2021-08-01 19:50:22,-33.9258,18.4232,59.11,78,40,1.14
29,Longyearbyen,SJ,2021-08-01 19:52:57,78.2186,15.6401,46.24,71,75,16.11
30,Tigil,RU,2021-08-01 20:01:01,57.8,158.6667,47.28,94,100,0.83
31,Genhe,CN,2021-08-01 20:01:02,50.7833,121.5167,45.61,98,2,2.84
32,Plastun,RU,2021-08-01 20:01:02,44.7561,136.2939,67.15,94,100,8.16
33,Punta Arenas,CL,2021-08-01 19:58:40,-53.15,-70.9167,48.31,61,40,13.8
34,Marsh Harbour,BS,2021-08-01 20:01:03,26.5412,-77.0636,85.26,70,56,9.73
35,Mahebourg,MU,2021-08-01 19:58:17,-20.4081,57.7,70.09,83,75,13.8
36,San Quintin,MX,2021-08-01 20:01:03,30.4833,-115.95,79.48,59,2,13.96
37,Ostrovnoy,RU,2021-08-01 19:55:16,68.0531,39.5131,48.83,87,15,8.9
38,Yellowknife,CA,2021-08-01 19:57:06,62.456,-114.3525,86.32,28,1,1.99
39,Vaini,TO,2021-08-01 20:01:04,-21.2,-175.2,72.54,69,38,28.25
40,Digha,IN,2021-08-01 20:01:05,21.6833,87.55,83.01,80,100,11.14
41,Nikolskoye,RU,2021-08-01 20:01:05,59.7035,30.7861,64.02,78,5,6.33
42,Hermanus,ZA,2021-08-01 19:55:31,-34.4187,19.2345,58.89,78,96,5.84
43,Klaksvik,FO,2021-08-01 19:56:46,62.2266,-6.589,49.12,82,53,11.48
44,Sao Jose Da Coroa Grande,BR,2021-08-01 20:01:06,-8.8978,-35.1478,75.0,79,2,16.53
45,Talcahuano,CL,2021-08-01 19:56:02,-36.7167,-73.1167,65.88,34,0,12.66
46,Rafaela,AR,2021-08-01 19:56:37,-31.2503,-61.4867,66.97,19,0,1.01
47,Qaanaaq,GL,2021-08-01 19:55:21,77.484,-69.3632,43.16,80,88,1.72
48,Hobart,AU,2021-08-01 19:59:16,-42.8794,147.3294,37.11,85,9,3.0
49,Hilo,US,2021-08-01 20:00:09,19.7297,-155.09,78.62,84,76,5.01
50,Ushuaia,AR,2021-08-01 19:55:17,-54.8,-68.3,46.06,57,0,6.91
51,Cardston,CA,2021-08-01 20:01:09,49.2,-113.3019,89.46,17,52,18.72
